thumbnailUrl,logoUrl,name,date,city,state,eventType
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/719/thumb/FINAL_TITLE.png?1692812811,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/719/thumb/Logo-Dark.png?1692048909,HackUTD,Nov 4th - 5th,Dallas,Texas,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/795/thumb/make-a-ton-mlh-icon-2_1.png?1696607979,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/795/thumb/make-a-ton-mlh-icon.png?1696607979,Make-a-Ton 6.0,Nov 4th - 5th,Kochi,Kerala,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/750/thumb/300x300_background.png?1695993460,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/750/thumb/100px_square_logo.jpg?1695993460,MakeUC,Nov 4th - 5th,Cincinnati,Ohio,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/672/thumb/IEEE_Logo.png?1689610476,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/672/thumb/NewHacks_Logo.png?1688399919,NewHacks,Nov 4th - 5th,Toronto,Canada,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/752/thumb/Screenshot_2023-10-26_at_12.03.32_PM.png?1698336226,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/752/thumb/Screenshot_2023-10-26_at_12.03.13_PM.png?1698336225,sunhacks,Nov 4th - 5th,Tempe,Arizona,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/764/thumb/f23_logo_button.00e991c1ce67.png?1698363603,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/764/thumb/f23_logo_button.00e991c1ce67.png?1698363601,UB Hacking,Nov 4th - 5th,Buffalo,New York,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/659/thumb/WHACK_banner__1_.png?1698459135,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/659/thumb/WHACK_logo_100_100__1_.png?1698459135,WHACK,Nov 4th - 5th,Wellesley,Massachusetts,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/731/thumb/IG.jpg?1697059401,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/731/thumb/icon.png?1694528975,Global Hack Week: Career,Nov 10th - 16th,Everywhere,Worldwide,Digital Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/755/thumb/HackPrinceton-Background.png?1696307869,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/755/thumb/HackPrinceton-Logo-Square.png?1696307869,HackPrinceton,Nov 10th - 12th,Princeton,New Jersey,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/756/thumb/Logo_-_Picture_Back_300x300.png?1698459004,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/756/thumb/Logo_-_Black_100x100.png?1698459004,HackUMass,Nov 10th - 12th,Amherst,Massachusetts,In-Person Only
https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/212/806/thumb/MLH_BackSplash.png?1698329574,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/212/806/thumb/MLH_HackSheffield8_Logo.png?1698329573,Hackathon Sheffield 8,Nov 11th - 12th,Sheffield,"South Yorkshire, UK",In-Person Only
